Feature,Coefficient,Absolute coefficient
cat__Checking account_Unknown_or_No_Account,-0.8787898960103119,0.8787898960103119
num__Duration,0.5139204961972632,0.5139204961972632
cat__Checking account_little,0.4708717208173894,0.4708717208173894
cat__Saving accounts_Unknown_or_No_Account,-0.39154784617354305,0.39154784617354305
cat__Purpose_radio/tv,-0.35992909732536127,0.35992909732536127
cat__Housing_own,-0.3427386222999375,0.3427386222999375
cat__Sex_male,-0.3299031060655768,0.3299031060655768
cat__Saving accounts_little,0.3131290266283962,0.3131290266283962
cat__Purpose_education,0.30726621384516867,0.30726621384516867
cat__Saving accounts_rich,-0.282736213328659,0.282736213328659
cat__Checking account_moderate,0.2007069921937029,0.2007069921937029
cat__Saving accounts_moderate,0.17494484680793765,0.17494484680793765
cat__Job_2,-0.1455606294473657,0.1455606294473657
cat__Purpose_furniture/equipment,-0.12116495877968972,0.12116495877968972
cat__Saving accounts_quite rich,-0.11290734473171438,0.11290734473171438
cat__Purpose_repairs,0.10279299788061835,0.10279299788061835
cat__Checking account_rich,-0.09190634779835517,0.09190634779835517
cat__Housing_rent,0.08834735428119868,0.08834735428119868
cat__Purpose_vacation/others,-0.08568030852331752,0.08568030852331752
cat__Purpose_car,-0.08100289368647261,0.08100289368647261
num__Age,-0.08048514179750356,0.08048514179750356
cat__Job_1,-0.06690440565289818,0.06690440565289818
cat__Job_3,-0.06483093079255911,0.06483093079255911
num__Credit amount,-0.06054220995859211,0.06054220995859211
cat__Purpose_business,-0.045676646718968705,0.045676646718968705
cat__Housing_free,-0.044726262778851694,0.044726262778851694
cat__Sex_female,0.03078557526798407,0.03078557526798407
cat__Job_0,-0.02182156490476113,0.02182156490476113
cat__Purpose_domestic appliances,-0.01572283748954994,0.01572283748954994
